_id,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,sort_type,start_date,last_mod_date,status,change_type,remark
5f3f90ec8c85a9448877e33e,MM01,Kachin,ကချင်ပြည်နယ်,ပြည်နယ်,State,00_SR,null,null,Active,false,false
5f3f90ec8c85a9448877e343,MM06,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,00_SR,null,null,Active,false,false
5f3f90ec8c85a9448877e344,MM07,Bago,ပဲခူးတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,00_SR,null,null,Active,false,false
5f3f90ec8c85a9448877e345,MM08,Magway,မကွေးတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,00_SR,null,null,Active,false,false
5f3f90ec8c85a9448877e346,MM09,Mandalay,မန္တလေးတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,00_SR,null,null,Active,false,false
5f3f90ec8c85a9448877e347,MM10,Mon,မွန်ပြည်နယ်,ပြည်နယ်,State,00_SR,null,null,Active,false,false
5f3f90ec8c85a9448877e348,MM11,Rakhine,ရခိုင်ပြည်နယ်,ပြည်နယ်,State,00_SR,null,null,Active,false,false
5f3f90ec8c85a9448877e349,MM12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,00_SR,null,null,Active,false,false
5f3f90ec8c85a9448877e34a,MM13,Shan,ရှမ်းပြည်နယ်,ပြည်နယ်,State,00_SR,null,null,Active,false,false
5f3f90ec8c85a9448877e34b,MM14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,00_SR,null,null,Active,false,false
5f3f90ec8c85a9448877e34c,MMR001,Kachin,ကချင်ပြည်နယ်,ပြည်နယ်,State,01_SR,2015-03-30T17:30:00.000Z,null,Active,false,false
5f3f90ec8c85a9448877e34d,MMR002,Kayah,ကယားပြည်နယ်,ပြည်နယ်,State,01_SR,2015-03-30T17:30:00.000Z,null,Active,false,false
5f3f90ec8c85a9448877e34e,MMR003,Kayin,ကရင်ပြည်နယ်,ပြည်နယ်,State,01_SR,2015-03-30T17:30:00.000Z,null,Active,false,false
