_id,pcode_ts,pop_t,pop_m,pop_f,pop_u,pop_u_m,pop_u_f,pop_r,pop_r_m,pop_r_f,pop_0_14,pop_15_64,pop_65ab,pop_10_17,pop_18ab,pop_15ab_t,lit_15ab_t,lit_rate_15ab_t,illit_15ab_t,pop_15ab_m,lit_15ab_m,lit_rate_15ab_m,illit_15ab_m,pop_15ab_f,lit_15ab_f,lit_rate_15ab_f,illit_15ab_f,pop_15ab_t_u,lit_15ab_t_u,lit_rate_15ab_t_u,illit_15ab_t_u,pop_15ab_m_u,lit_15ab_m_u,lit_rate_15ab_m_u,illit_15ab_m_u,pop_15ab_f_u,lit_15ab_f_u,lit_rate_15ab_f_u,illit_15ab_f_u,pop_15ab_t_r,lit_15ab_t_r,lit_rate_15ab_t_r,illit_15ab_t_r,pop_15ab_m_r,lit_15ab_m_r,lit_rate_15ab_m_r,illit_15ab_m_r,pop_15ab_f_r,lit_15ab_f_r,lit_rate_15ab_f_r,illit_15ab_f_r,schatt_5_29_t,schatt_5_29_curr_t,schatt_5_29_prev_t,schatt_5_29_nev_t,schatt_5_29_m,schatt_5_29_curr_m,schatt_5_29_prev_m,schatt_5_29_nev_m,schatt_5_29_f,schatt_5_29_curr_f,schatt_5_29_prev_f,schatt_5_29_nev_f,census_date
5f3f92164db54719945d7889,5f3f90ec8c85a9448877e3b2,317604,154047,163557,246506,117911,128595,71098,36136,34962,94642,208273,14689,55781,202120,196171,184827,94.2,11344,90050,86900,96.5,3150,106121,97927,92.3,8194,156416,148882,95.2,7534,71032,69065,97.2,1967,85384,79817,93.5,5567,39755,35945,90.4,3810,19018,17835,93.8,1183,20737,18110,87.3,2627,140246,70503,63796,5947,68082,34047,31005,3030,72164,36456,32791,2917,2014-04-29T17:30:00.000Z
5f3f92164db54719945d788c,5f3f90ec8c85a9448877e3b5,60019,31979,28040,37415,20080,17335,22604,11899,10705,19303,39164,1552,9294,37412,32045,27501,85.8,4544,16570,15006,90.6,1564,15475,12495,80.7,2980,19046,16850,88.5,2196,9845,9143,92.9,702,9201,7707,83.8,1494,12999,10651,81.9,2348,6725,5863,87.2,862,6274,4788,76.3,1486,24100,11308,11003,1789,12560,5640,6017,903,11540,5668,4986,886,2014-04-29T17:30:00.000Z
5f3f92164db54719945d788d,5f3f90ec8c85a9448877e3b6,20039,10300,9739,2790,1391,1399,17249,8909,8340,8289,11100,650,4147,10404,10905,6607,60.6,4298,5446,3686,67.7,1760,5459,2921,53.5,2538,1663,1463,88,200,785,737,93.9,48,878,726,82.7,152,9242,5144,55.7,4098,4661,2949,63.3,1712,4581,2195,47.9,2386,10716,3965,3128,3623,5426,2075,1749,1602,5290,1890,1379,2021,2014-04-29T17:30:00.000Z
5f3f92164db54719945d788a,5f3f90ec8c85a9448877e3b3,125544,62465,63079,26656,13224,13432,98888,49241,49647,43700,76180,5664,22842,74088,76204,62427,81.9,13777,36512,31392,86,5120,39692,31035,78.2,8657,16910,14622,86.5,2288,8115,7321,90.2,794,8795,7301,83,1494,59294,47805,80.6,11489,28397,24071,84.8,4326,30897,23734,76.8,7163,59102,30757,23502,4843,29591,15064,12046,2481,29511,15693,11456,2362,2014-04-29T17:30:00.000Z
5f3f92164db54719945d788b,5f3f90ec8c85a9448877e3b4,1732,946,786,445,244,201,1287,702,585,609,1083,40,299,1023,851,688,80.8,163,407,350,86,57,444,338,76.1,106,209,167,79.9,42,106,90,84.9,16,103,77,74.8,26,642,521,81.2,121,301,260,86.4,41,341,261,76.5,80,725,345,278,102,362,174,127,61,363,171,151,41,2014-04-29T17:30:00.000Z
5f3f92164db54719945d788e,5f3f90ec8c85a9448877e3b7,6518,3351,3167,368,193,175,6150,3158,2992,2835,3392,291,1309,3275,3664,2666,72.8,998,1892,1466,77.5,426,1772,1200,67.7,572,192,161,83.9,31,95,85,89.5,10,97,76,78.4,21,3472,2505,72.1,967,1797,1381,76.9,416,1675,1124,67.1,551,3513,1537,1080,896,1811,779,617,415,1702,758,463,481,2014-04-29T17:30:00.000Z
5f3f92164db54719945d788f,5f3f90ec8c85a9448877e3b8,209292,101598,107694,56642,26652,29990,152650,74946,77704,65589,133381,10322,37756,130634,131799,126016,95.6,5783,58925,57509,97.6,1416,72874,68507,94,4367,37635,35891,95.4,1744,16315,15881,97.3,434,21320,20010,93.9,1310,94164,90125,95.7,4039,42610,41628,97.7,982,51554,48497,94.1,3057,93589,47531,42497,3561,45312,22478,20980,1854,48277,25053,21517,1707,2014-04-29T17:30:00.000Z
5f3f92164db54719945d7890,5f3f90ec8c85a9448877e3b9,132608,63501,69107,25012,11604,13408,107596,51897,55699,43488,82369,6751,23947,81068,84489,78874,93.4,5615,37809,36168,95.7,1641,46680,42706,91.5,3974,16588,15779,95.1,809,7133,6933,97.2,200,9455,8846,93.6,609,67901,63095,92.9,4806,30676,29235,95.3,1441,37225,33860,91,3365,60836,31468,26749,2619,29369,14839,13109,1421,31467,16629,13640,1198,2014-04-29T17:30:00.000Z
5f3f92164db54719945d7891,5f3f90ec8c85a9448877e3ba,331708,210723,120985,65857,42818,23039,265851,167905,97946,70468,255710,5530,39916,243742,116886,110307,94.4,6579,63120,60623,96,2497,53766,49684,92.4,4082,27096,26021,96,1075,15222,14819,97.4,403,11874,11202,94.3,672,89790,84286,93.9,5504,47898,45804,95.6,2094,41892,38482,91.9,3410,81027,34781,42139,4107,43080,17299,23554,2227,37947,17482,18585,1880,2014-04-29T17:30:00.000Z
5f3f92164db54719945d7892,5f3f90ec8c85a9448877e3bb,135877,66718,69159,58696,28492,30204,77181,38226,38955,41357,88098,6422,22935,86437,81746,77447,94.7,4299,37787,36574,96.8,1213,43959,40873,93,3086,34327,33269,96.9,1058,15511,15260,98.4,251,18816,18009,95.7,807,47419,44178,93.2,3241,22276,21314,95.7,962,25143,22864,90.9,2279,56644,26201,28250,2193,27962,12575,14257,1130,28682,13626,13993,1063,2014-04-29T17:30:00.000Z
