_id,id_uec_order,seat_name_mm,seat_name_en,hluttaw_type_mm,hluttaw_type_en,election_date
5f3f901a97d7fe284063afc5,100001,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၁,Kachin Constituency 1,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afc6,100002,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၂,Kachin Constituency 2,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afc9,100005,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၅,Kachin Constituency 5,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afc8,100004,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၄,Kachin Constituency 4,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afc7,100003,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၃,Kachin Constituency 3,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afca,100006,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၆,Kachin Constituency 6,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afcb,100007,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၇,Kachin Constituency 7,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afcc,100008,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၈,Kachin Constituency 8,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afcd,100009,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၉,Kachin Constituency 9,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afce,100010,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၁၀,Kachin Constituency 10,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afcf,100011,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၁၁,Kachin Constituency 11,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afd0,100012,ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၁၂,Kachin Constituency 12,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afd1,100013,ကယားပြည်နယ် မဲဆန္ဒနယ် ၁,Kayah Constituency 1,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afd2,100014,ကယားပြည်နယ် မဲဆန္ဒနယ် ၂,Kayah Constituency 2,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afd3,100015,ကယားပြည်နယ် မဲဆန္ဒနယ် ၃,Kayah Constituency 3,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afd4,100016,ကယားပြည်နယ် မဲဆန္ဒနယ် ၄,Kayah Constituency 4,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afd5,100017,ကယားပြည်နယ် မဲဆန္ဒနယ် ၅,Kayah Constituency 5,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afd6,100018,ကယားပြည်နယ် မဲဆန္ဒနယ် ၆,Kayah Constituency 6,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afd7,100019,ကယားပြည်နယ် မဲဆန္ဒနယ် ၇,Kayah Constituency 7,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afd8,100020,ကယားပြည်နယ် မဲဆန္ဒနယ် ၈,Kayah Constituency 8,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afd9,100021,ကယားပြည်နယ် မဲဆန္ဒနယ် ၉,Kayah Constituency 9,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afda,100022,ကယားပြည်နယ် မဲဆန္ဒနယ် ၁၀,Kayah Constituency 10,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afdb,100023,ကယားပြည်နယ် မဲဆန္ဒနယ် ၁၁,Kayah Constituency 11,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afdc,100024,ကယားပြည်နယ် မဲဆန္ဒနယ် ၁၂,Kayah Constituency 12,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afdd,100025,ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၁,Kayin Constituency 1,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afde,100026,ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၂,Kayin Constituency 2,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afdf,100027,ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၃,Kayin Constituency 3,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afe0,100028,ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၄,Kayin Constituency 4,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afe1,100029,ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၅,Kayin Constituency 5,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afe2,100030,ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၆,Kayin Constituency 6,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
5f3f901a97d7fe284063afe3,100031,ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၇,Kayin Constituency 7,အမျိုးသားလွှတ်တော်,House of Nationalities,2010-11-07T00:00:00.000Z
